asdiflightplanid,latitude,longitude
7866998,37.62459013892002,-92.60983614061699
7869875,37.492349843509864,-92.93907128005732
7869877,37.6149253275857,-92.66144311250146
7873799,37.57187497615814,-92.68333339691162
7887907,37.57187497615814,-92.68333339691162
7902671,37.57187497615814,-92.68333339691162
7927784,37.48712117744215,-92.77828297470555
7941397,37.516901580380726,-92.78028214145714
7941438,37.48712117744215,-92.77828297470555
7968116,37.48712117744215,-92.77828297470555
7991760,37.44348955154419,-93.04505228996277
8014109,37.58112733504351,-92.70073565314797
8016145,37.435820849973766,-92.83432849485483
8032044,37.435820849973766,-92.83432849485483
8046061,37.47214279174805,-92.81309563773019
8066460,37.39685987389606,-92.88502436098845
8088840,37.39685987389606,-92.88502436098845
8089027,37.50223888568024,-92.94403019236096
8098769,37.492349843509864,-92.93907128005732
8117781,37.39685987389606,-92.88502436098845
8132232,37.48310491483505,-92.82511452452778
8146554,37.577179483266974,-92.68589759239784
8166861,37.577179483266974,-92.68589759239784
8196641,37.577179483266974,-92.68589759239784
8199298,37.61642147512997,-92.66617673986099
8368368,38.72853568105986,-91.64141429554333
8429637,37.57441308464802,-92.72136183187995
